filename,PSNR,SSIM,MSE
2577.jpg,25.5600,0.9456,0.002780
259.jpg,28.5233,0.9322,0.001405
2591.jpg,22.8460,0.8809,0.005193
2596.jpg,23.7067,0.8866,0.004259
2597.jpg,26.6189,0.9106,0.002178
2598.jpg,24.6459,0.9257,0.003431
260.jpg,25.5272,0.9232,0.002801
2608.jpg,27.2960,0.9575,0.001864
2610.jpg,23.2306,0.8793,0.004753
2618.jpg,17.2613,0.7820,0.018788
262.jpg,22.5560,0.9308,0.005551
2620.jpg,25.2023,0.9342,0.003018
2623.jpg,17.6119,0.8957,0.017330
2626.jpg,25.1148,0.9126,0.003080
2627.jpg,25.6230,0.9189,0.002740
2630.jpg,25.2134,0.9348,0.003011
2666.jpg,25.2710,0.9049,0.002971
2674.jpg,24.3588,0.9168,0.003665
2685.jpg,25.5681,0.9343,0.002775
2692.jpg,24.9001,0.8941,0.003236
2696.jpg,26.0838,0.9495,0.002464
2697.jpg,24.4675,0.8885,0.003575
2698.jpg,27.9947,0.9526,0.001587
2699.jpg,27.4438,0.9090,0.001801
2700.jpg,29.3518,0.9543,0.001161
2704.jpg,26.8268,0.9541,0.002076
2714.jpg,25.5497,0.9237,0.002786
2722.jpg,24.8115,0.9261,0.003303
2733.jpg,20.6963,0.9209,0.008519
2734.jpg,18.7246,0.8800,0.013413
2739.jpg,24.8169,0.9220,0.003298
2742.jpg,20.3461,0.8862,0.009234
2753.jpg,24.0135,0.9307,0.003969
2758.jpg,25.4849,0.9468,0.002828
2765.jpg,23.1793,0.9364,0.004809
2766.jpg,29.7192,0.9426,0.001067
2773.jpg,24.1790,0.8864,0.003820
2776.jpg,26.4479,0.9418,0.002266
2779.jpg,23.6791,0.9335,0.004286
2789.jpg,19.0937,0.8614,0.012321
2798.jpg,24.1151,0.9500,0.003877
2809.jpg,26.0722,0.9355,0.002470
2821.jpg,26.5651,0.9535,0.002205
2823.jpg,22.4960,0.9435,0.005629
2826.jpg,23.7640,0.9026,0.004203
2829.jpg,27.5592,0.9385,0.001754
2831.jpg,21.1919,0.8926,0.007600
2833.jpg,19.7025,0.9002,0.010709
2836.jpg,26.9611,0.9403,0.002013
2837.jpg,18.8196,0.8817,0.013123
2842.jpg,14.4873,0.8280,0.035585
2846.jpg,28.7140,0.9602,0.001345
2859.jpg,23.8589,0.8844,0.004113
2860.jpg,24.6500,0.9186,0.003428
2861.jpg,19.3625,0.8865,0.011581
2865.jpg,21.1977,0.9541,0.007590
2867.jpg,25.9227,0.9165,0.002557
2870.jpg,24.5266,0.9105,0.003526
2882.jpg,23.7658,0.8646,0.004202
289.jpg,20.0878,0.8847,0.009800
2896.jpg,19.0592,0.8659,0.012419
291.jpg,18.5375,0.8683,0.014004
2911.jpg,24.9402,0.9167,0.003206
2914.jpg,21.9373,0.9308,0.006401
2916.jpg,26.3935,0.9323,0.002294
292.jpg,24.3838,0.9250,0.003644
2921.jpg,21.1961,0.9247,0.007593
2932.jpg,22.7367,0.8628,0.005325
2940.jpg,20.0151,0.9009,0.009965
2945.jpg,28.9966,0.9154,0.001260
2946.jpg,22.6933,0.9004,0.005379
2947.jpg,28.0929,0.9285,0.001551
2954.jpg,26.6235,0.9432,0.002176
2955.jpg,22.2086,0.9387,0.006014
2958.jpg,22.7012,0.9459,0.005369
2977.jpg,26.1646,0.9240,0.002418
2982.jpg,27.7074,0.9484,0.001695
2985.jpg,22.1258,0.9072,0.006129
2986.jpg,28.1426,0.9331,0.001534
299.jpg,19.8790,0.8613,0.010283
2999.jpg,20.7462,0.9400,0.008421
3008.jpg,24.3749,0.9095,0.003652
3024.jpg,25.2434,0.9405,0.002990
3025.jpg,16.6974,0.8108,0.021392
3042.jpg,28.5202,0.9376,0.001406
3045.jpg,21.3820,0.9158,0.007274
3053.jpg,21.1493,0.9525,0.007675
3059.jpg,23.5758,0.9470,0.004390
3069.jpg,19.0139,0.8815,0.012549
307.jpg,17.0234,0.7962,0.019845
3070.jpg,21.7552,0.9395,0.006675
3073.jpg,23.5023,0.8255,0.004464
3075.jpg,22.8787,0.9348,0.005154
3077.jpg,27.9502,0.9497,0.001603
3085.jpg,19.9378,0.9260,0.010144
3086.jpg,21.8953,0.8876,0.006464
3087.jpg,22.6434,0.9424,0.005441
3093.jpg,24.0412,0.9134,0.003943
3095.jpg,27.0088,0.9522,0.001991
3096.jpg,18.6098,0.8581,0.013773
3098.jpg,21.9983,0.7730,0.006312
3106.jpg,24.6637,0.9336,0.003417
3108.jpg,22.3420,0.8571,0.005832
3109.jpg,20.5688,0.9063,0.008772
3117.jpg,23.7922,0.9302,0.004176
312.jpg,30.4647,0.9392,0.000899
3120.jpg,21.6004,0.8684,0.006918
3122.jpg,24.5985,0.9365,0.003469
3123.jpg,23.7377,0.9365,0.004229
3130.jpg,14.6070,0.5931,0.034618
314.jpg,22.3708,0.8998,0.005793
3140.jpg,22.1947,0.9289,0.006033
3141.jpg,27.2396,0.9370,0.001888
3142.jpg,29.3566,0.9304,0.001160
3146.jpg,25.8971,0.9147,0.002572
3151.jpg,21.4082,0.9256,0.007231
3153.jpg,27.6700,0.9180,0.001710
3156.jpg,24.2987,0.8828,0.003716
3161.jpg,19.8809,0.8361,0.010278
3162.jpg,19.5997,0.8286,0.010965
3165.jpg,29.1560,0.9426,0.001214
3169.jpg,23.4281,0.9206,0.004541
3184.jpg,20.2134,0.8981,0.009521
3187.jpg,24.4936,0.8770,0.003553
319.jpg,22.7978,0.8979,0.005251
3193.jpg,30.2155,0.9471,0.000952
3195.jpg,23.5415,0.9149,0.004424
3196.jpg,19.5598,0.8628,0.011067
3197.jpg,21.8151,0.7765,0.006584
3219.jpg,28.1335,0.8381,0.001537
322.jpg,22.6958,0.8299,0.005376
3222.jpg,23.5179,0.9221,0.004448
3227.jpg,23.9946,0.9145,0.003986
323.jpg,25.3212,0.9320,0.002937
3233.jpg,25.9856,0.9253,0.002520
3235.jpg,26.6090,0.9182,0.002183
3248.jpg,23.1206,0.9382,0.004875
3249.jpg,24.0661,0.9146,0.003921
3254.jpg,25.8618,0.9354,0.002593
3255.jpg,25.3510,0.9099,0.002917
3257.jpg,26.5749,0.9147,0.002200
3259.jpg,26.6011,0.9482,0.002187
326.jpg,22.0160,0.6546,0.006286
3261.jpg,27.7305,0.9614,0.001686
3265.jpg,28.3588,0.9260,0.001459
3266.jpg,23.7548,0.9033,0.004212
327.jpg,26.0682,0.9590,0.002473
328.jpg,20.8893,0.9019,0.008148
3282.jpg,26.5624,0.8701,0.002207
3287.jpg,28.3154,0.9460,0.001474
3293.jpg,20.8318,0.9040,0.008257
3297.jpg,26.6969,0.9500,0.002139
3298.jpg,26.3593,0.9500,0.002312
3301.jpg,25.8454,0.8814,0.002603
3313.jpg,25.2855,0.9461,0.002961
3315.jpg,24.4734,0.9302,0.003570
3319.jpg,21.9946,0.9382,0.006317
332.jpg,31.0791,0.8988,0.000780
3323.jpg,27.8812,0.9155,0.001629
3327.jpg,25.8501,0.9235,0.002600
3331.jpg,23.4804,0.9225,0.004487
3339.jpg,23.9466,0.9220,0.004030
3341.jpg,21.3357,0.9413,0.007352
3345.jpg,26.8273,0.9308,0.002076
3349.jpg,27.3496,0.9481,0.001841
3351.jpg,24.8872,0.9498,0.003246
3365.jpg,25.5908,0.9373,0.002760
3369.jpg,28.0603,0.9569,0.001563
3370.jpg,26.2716,0.9132,0.002360
3384.jpg,22.9583,0.9359,0.005060
3388.jpg,23.6853,0.8692,0.004280
3390.jpg,16.4171,0.8990,0.022819
34.jpg,22.0151,0.9383,0.006288
340.jpg,22.7547,0.9020,0.005303
3414.jpg,16.1409,0.7517,0.024317
3420.jpg,21.5355,0.9502,0.007022
3422.jpg,20.1155,0.8398,0.009738
3424.jpg,23.5727,0.9053,0.004393
3429.jpg,20.0580,0.8953,0.009867
343.jpg,28.9439,0.9284,0.001275
3432.jpg,19.3023,0.8687,0.011743
3439.jpg,26.3886,0.9547,0.002297
3440.jpg,18.8148,0.8602,0.013138
3447.jpg,28.4672,0.9315,0.001423
3451.jpg,19.3617,0.8833,0.011583
3454.jpg,19.4665,0.9077,0.011307
3459.jpg,25.5590,0.9426,0.002780
3467.jpg,22.3704,0.8490,0.005794
3471.jpg,26.5468,0.9387,0.002215
348.jpg,21.7982,0.9060,0.006610
3486.jpg,18.8709,0.7933,0.012969
3492.jpg,21.1568,0.8852,0.007662
35.jpg,22.5586,0.9206,0.005548
350.jpg,22.8586,0.9300,0.005178
3500.jpg,23.8382,0.9085,0.004132
3502.jpg,26.3670,0.9335,0.002308
3506.jpg,26.8216,0.9377,0.002079
3507.jpg,20.6116,0.8782,0.008686
351.jpg,23.8649,0.9200,0.004107
3515.jpg,23.3793,0.9100,0.004593
3516.jpg,26.8262,0.8987,0.002077
3517.jpg,22.6284,0.9006,0.005460
3519.jpg,27.0190,0.9410,0.001987
3525.jpg,26.3403,0.9595,0.002323
3533.jpg,26.1538,0.9255,0.002424
3537.jpg,22.2055,0.9131,0.006018
3539.jpg,21.6473,0.9177,0.006843
3549.jpg,22.2477,0.8753,0.005960
3551.jpg,21.9958,0.9074,0.006316
3553.jpg,19.6128,0.8904,0.010932
3556.jpg,24.3741,0.9288,0.003652
3557.jpg,16.4452,0.6164,0.022672
3572.jpg,23.2938,0.9096,0.004684
3579.jpg,30.6621,0.9641,0.000859
3582.jpg,27.5416,0.9278,0.001761
3583.jpg,25.2703,0.9130,0.002971
3584.jpg,31.2599,0.9456,0.000748
3588.jpg,19.3284,0.9170,0.011672
3599.jpg,25.7682,0.9099,0.002650
3612.jpg,18.6194,0.7835,0.013742
3633.jpg,23.1711,0.9266,0.004818
3637.jpg,27.8338,0.9542,0.001647
3643.jpg,23.7420,0.9318,0.004225
3647.jpg,27.5241,0.9561,0.001768
3649.jpg,26.8461,0.9377,0.002067
3658.jpg,12.7119,0.6432,0.053557
3662.jpg,16.4613,0.8481,0.022588
3672.jpg,18.5009,0.8706,0.014122
3675.jpg,23.3576,0.9443,0.004616
3677.jpg,18.7119,0.8836,0.013453
3682.jpg,22.4422,0.9117,0.005699
3685.jpg,25.5510,0.9373,0.002785
3689.jpg,23.6779,0.9227,0.004288
369.jpg,21.1065,0.9300,0.007751
3696.jpg,25.9898,0.9003,0.002518
3698.jpg,23.4568,0.8234,0.004512
3701.jpg,25.4086,0.9684,0.002878
3706.jpg,20.2306,0.8419,0.009483
371.jpg,23.8346,0.9608,0.004136
3711.jpg,19.3382,0.8188,0.011646
3714.jpg,20.5940,0.8980,0.008722
3715.jpg,24.2968,0.9285,0.003718
3717.jpg,19.5966,0.9067,0.010973
372.jpg,23.2379,0.9429,0.004745
3734.jpg,26.2088,0.9660,0.002394
3740.jpg,18.6379,0.8904,0.013684
3744.jpg,23.7605,0.9210,0.004207
3753.jpg,21.9495,0.9023,0.006383
3759.jpg,25.5457,0.9585,0.002789
3764.jpg,25.1963,0.9446,0.003023
3767.jpg,20.7799,0.8702,0.008356
377.jpg,26.4917,0.9706,0.002243
3776.jpg,28.3200,0.9037,0.001472
3783.jpg,27.6950,0.9155,0.001700
3790.jpg,27.2485,0.8990,0.001884
3791.jpg,19.0401,0.8917,0.012473
3798.jpg,20.1009,0.8921,0.009770
3803.jpg,23.3415,0.9184,0.004633
3810.jpg,19.6847,0.8422,0.010753
3818.jpg,19.6858,0.8977,0.010750
3824.jpg,25.4100,0.9395,0.002877
3826.jpg,17.9690,0.8795,0.015963
3832.jpg,25.2496,0.9592,0.002986
3833.jpg,25.9850,0.9120,0.002521
3845.jpg,26.0799,0.9189,0.002466
3852.jpg,22.7727,0.9298,0.005281
3853.jpg,20.7303,0.7684,0.008452
3854.jpg,25.5932,0.9368,0.002759
3856.jpg,19.6948,0.8443,0.010728
3858.jpg,21.5624,0.8991,0.006978
386.jpg,19.8962,0.8472,0.010242
387.jpg,19.5161,0.8874,0.011179
3875.jpg,23.1821,0.9113,0.004806
389.jpg,24.5545,0.8701,0.003504
3897.jpg,28.2638,0.9651,0.001491
3904.jpg,25.8427,0.9313,0.002605
3905.jpg,21.8237,0.8117,0.006571
3911.jpg,26.1603,0.9572,0.002421
3918.jpg,28.7636,0.9647,0.001329
